text,label,entities
"Meanwhile, the serum level of KC (a functional homolog of << IL-8 >> and the main proinflammatory alpha chemokine in mice) in apoE(-/-) mice was up to 357pg/ml in [[ SFO ]]-HD treated group.",INDIRECT-UPREGULATOR,"['IL-8', 'SFO']"
"Meanwhile, the serum level of KC (a functional homolog of IL-8 and the main proinflammatory << alpha chemokine >> in mice) in apoE(-/-) mice was up to 357pg/ml in [[ SFO ]]-HD treated group.",INDIRECT-UPREGULATOR,"['alpha chemokine', 'SFO']"
"Thus, << SFO >> contributes to the instability of atherosclerotic plaque in apoE(-/-) mice through activating [[ p75(NTR) ]] and IL-8 and cell apoptosis in plaque.",ACTIVATOR,"['SFO', 'p75(NTR)']"
"Thus, << SFO >> contributes to the instability of atherosclerotic plaque in apoE(-/-) mice through activating p75(NTR) and [[ IL-8 ]] and cell apoptosis in plaque.",ACTIVATOR,"['SFO', 'IL-8']"
<< Levodopa >> is absorbed in the small bowel and is rapidly catabolized by [[ aromatic-L-amino-acid decarboxylase ]] (AADC) and catechol-O-methyltransferase (COMT).,SUBSTRATE,"['Levodopa', 'aromatic-L-amino-acid decarboxylase']"
<< Levodopa >> is absorbed in the small bowel and is rapidly catabolized by aromatic-L-amino-acid decarboxylase ([[ AADC ]]) and catechol-O-methyltransferase (COMT).,SUBSTRATE,"['Levodopa', 'AADC']"
<< Levodopa >> is absorbed in the small bowel and is rapidly catabolized by aromatic-L-amino-acid decarboxylase (AADC) and [[ catechol-O-methyltransferase ]] (COMT).,SUBSTRATE,"['Levodopa', 'catechol-O-methyltransferase']"
<< Levodopa >> is absorbed in the small bowel and is rapidly catabolized by aromatic-L-amino-acid decarboxylase (AADC) and catechol-O-methyltransferase ([[ COMT ]]).,SUBSTRATE,"['Levodopa', 'COMT']"
"Because gastric AADC and COMT degrade levodopa, the drug is given with inhibitors of << AADC >> (carbidopa or [[ benserazide ]]), and inhibitors of COMT will also enter clinical use.",INHIBITOR,"['AADC', 'benserazide']"
"Because gastric AADC and COMT degrade levodopa, the drug is given with inhibitors of << AADC >> ([[ carbidopa ]] or benserazide), and inhibitors of COMT will also enter clinical use.",INHIBITOR,"['AADC', 'carbidopa']"
"Because gastric << AADC >> and COMT degrade [[ levodopa ]], the drug is given with inhibitors of AADC (carbidopa or benserazide), and inhibitors of COMT will also enter clinical use.",SUBSTRATE,"['AADC', 'levodopa']"
"Because gastric AADC and << COMT >> degrade [[ levodopa ]], the drug is given with inhibitors of AADC (carbidopa or benserazide), and inhibitors of COMT will also enter clinical use.",SUBSTRATE,"['COMT', 'levodopa']"
Rats were fed experimental diets containing SPI or << casein >> as a [[ nitrogen ]] source.,PRODUCT-OF,"['casein', 'nitrogen']"
"Different substrates were used as the relative specific substrates for the determination of aminopeptidase enzymatic activity: 4-methoxy-2-naphthylamide of L-alanine for aminopeptidase N, 4-methoxy-2-naphthylamide of L-leucine for leucine aminopeptidase, 4-methoxy-2-naphthylamide of L-glutamic acid for aminopeptidase A and 4-methoxy-2-naphthylamide of << L-arginine >> for [[ aminopeptidase B ]].",SUBSTRATE,"['L-arginine', 'aminopeptidase B']"
"Different substrates were used as the relative specific substrates for the determination of aminopeptidase enzymatic activity: << 4-methoxy-2-naphthylamide >> of L-alanine for [[ aminopeptidase N ]], 4-methoxy-2-naphthylamide of L-leucine for leucine aminopeptidase, 4-methoxy-2-naphthylamide of L-glutamic acid for aminopeptidase A and 4-methoxy-2-naphthylamide of L-arginine for aminopeptidase B.",SUBSTRATE,"['4-methoxy-2-naphthylamide', 'aminopeptidase N']"
"Different substrates were used as the relative specific substrates for the determination of aminopeptidase enzymatic activity: 4-methoxy-2-naphthylamide of << L-alanine >> for [[ aminopeptidase N ]], 4-methoxy-2-naphthylamide of L-leucine for leucine aminopeptidase, 4-methoxy-2-naphthylamide of L-glutamic acid for aminopeptidase A and 4-methoxy-2-naphthylamide of L-arginine for aminopeptidase B.",SUBSTRATE,"['L-alanine', 'aminopeptidase N']"
"Different substrates were used as the relative specific substrates for the determination of aminopeptidase enzymatic activity: 4-methoxy-2-naphthylamide of L-alanine for aminopeptidase N, << 4-methoxy-2-naphthylamide >> of L-leucine for [[ leucine aminopeptidase ]], 4-methoxy-2-naphthylamide of L-glutamic acid for aminopeptidase A and 4-methoxy-2-naphthylamide of L-arginine for aminopeptidase B.",SUBSTRATE,"['4-methoxy-2-naphthylamide', 'leucine aminopeptidase']"
"Different substrates were used as the relative specific substrates for the determination of aminopeptidase enzymatic activity: 4-methoxy-2-naphthylamide of L-alanine for aminopeptidase N, 4-methoxy-2-naphthylamide of << L-leucine >> for [[ leucine aminopeptidase ]], 4-methoxy-2-naphthylamide of L-glutamic acid for aminopeptidase A and 4-methoxy-2-naphthylamide of L-arginine for aminopeptidase B.",SUBSTRATE,"['L-leucine', 'leucine aminopeptidase']"
"Different substrates were used as the relative specific substrates for the determination of aminopeptidase enzymatic activity: 4-methoxy-2-naphthylamide of L-alanine for aminopeptidase N, 4-methoxy-2-naphthylamide of L-leucine for leucine aminopeptidase, << 4-methoxy-2-naphthylamide >> of L-glutamic acid for [[ aminopeptidase A ]] and 4-methoxy-2-naphthylamide of L-arginine for aminopeptidase B.",SUBSTRATE,"['4-methoxy-2-naphthylamide', 'aminopeptidase A']"
"Different substrates were used as the relative specific substrates for the determination of aminopeptidase enzymatic activity: 4-methoxy-2-naphthylamide of L-alanine for aminopeptidase N, 4-methoxy-2-naphthylamide of L-leucine for leucine aminopeptidase, 4-methoxy-2-naphthylamide of << L-glutamic acid >> for [[ aminopeptidase A ]] and 4-methoxy-2-naphthylamide of L-arginine for aminopeptidase B.",SUBSTRATE,"['L-glutamic acid', 'aminopeptidase A']"
"Different substrates were used as the relative specific substrates for the determination of aminopeptidase enzymatic activity: 4-methoxy-2-naphthylamide of L-alanine for aminopeptidase N, 4-methoxy-2-naphthylamide of L-leucine for leucine aminopeptidase, 4-methoxy-2-naphthylamide of L-glutamic acid for aminopeptidase A and << 4-methoxy-2-naphthylamide >> of L-arginine for [[ aminopeptidase B ]].",SUBSTRATE,"['4-methoxy-2-naphthylamide', 'aminopeptidase B']"
The inhibition of << aminopeptidase >> activity in the presence of [[ bestatin ]] and puromycin inhibitors was also investigated.,INHIBITOR,"['aminopeptidase', 'bestatin']"
The inhibition of << aminopeptidase >> activity in the presence of bestatin and [[ puromycin ]] inhibitors was also investigated.,INHIBITOR,"['aminopeptidase', 'puromycin']"
"Here, we demonstrate that << peptidyl-prolyl cis/trans-isomerase A1 >> (Pin1), an enzyme that catalyzes the conversion of the peptide bond of [[ pSer ]]/pThr-Pro moieties in signaling proteins from cis to trans, is highly susceptible to HNE modification.",SUBSTRATE,"['peptidyl-prolyl cis/trans-isomerase A1', 'pSer']"
"Here, we demonstrate that peptidyl-prolyl cis/trans-isomerase A1 (<< Pin1 >>), an enzyme that catalyzes the conversion of the peptide bond of [[ pSer ]]/pThr-Pro moieties in signaling proteins from cis to trans, is highly susceptible to HNE modification.",SUBSTRATE,"['Pin1', 'pSer']"
"Here, we demonstrate that << peptidyl-prolyl cis/trans-isomerase A1 >> (Pin1), an enzyme that catalyzes the conversion of the peptide bond of pSer/[[ pThr ]]-Pro moieties in signaling proteins from cis to trans, is highly susceptible to HNE modification.",SUBSTRATE,"['peptidyl-prolyl cis/trans-isomerase A1', 'pThr']"
"Here, we demonstrate that peptidyl-prolyl cis/trans-isomerase A1 (<< Pin1 >>), an enzyme that catalyzes the conversion of the peptide bond of pSer/[[ pThr ]]-Pro moieties in signaling proteins from cis to trans, is highly susceptible to HNE modification.",SUBSTRATE,"['Pin1', 'pThr']"
"Here, we demonstrate that << peptidyl-prolyl cis/trans-isomerase A1 >> (Pin1), an enzyme that catalyzes the conversion of the peptide bond of pSer/pThr-[[ Pro ]] moieties in signaling proteins from cis to trans, is highly susceptible to HNE modification.",SUBSTRATE,"['peptidyl-prolyl cis/trans-isomerase A1', 'Pro']"
"Here, we demonstrate that peptidyl-prolyl cis/trans-isomerase A1 (<< Pin1 >>), an enzyme that catalyzes the conversion of the peptide bond of pSer/pThr-[[ Pro ]] moieties in signaling proteins from cis to trans, is highly susceptible to HNE modification.",SUBSTRATE,"['Pin1', 'Pro']"
Withdrawal from free-choice << ethanol >> consumption results in increased packing density of [[ glutamine synthetase ]]-immunoreactive astrocytes in the prelimbic cortex of alcohol-preferring rats.,UPREGULATOR,"['ethanol', 'glutamine synthetase']"
Astrocytes may play a role in these manifestations because astrocytes are essential in the regulation of released glutamate and its conversion to << glutamine >> through the enzyme [[ glutamine synthetase ]] (GS).,PRODUCT-OF,"['glutamine', 'glutamine synthetase']"
Astrocytes may play a role in these manifestations because astrocytes are essential in the regulation of released glutamate and its conversion to << glutamine >> through the enzyme glutamine synthetase ([[ GS ]]).,PRODUCT-OF,"['glutamine', 'GS']"
Astrocytes may play a role in these manifestations because astrocytes are essential in the regulation of released << glutamate >> and its conversion to glutamine through the enzyme [[ glutamine synthetase ]] (GS).,SUBSTRATE,"['glutamate', 'glutamine synthetase']"
Astrocytes may play a role in these manifestations because astrocytes are essential in the regulation of released << glutamate >> and its conversion to glutamine through the enzyme glutamine synthetase ([[ GS ]]).,SUBSTRATE,"['glutamate', 'GS']"
<< All-trans retinoic acid >> protects hepatocellular carcinoma cells against serum-starvation-induced cell death by upregulating [[ collagen 8A2 ]].,UPREGULATOR,"['All-trans retinoic acid', 'collagen 8A2']"
"The protein exhibited modest << H(2)O(2) >>-dependent [[ peroxidase ]] activities with guaiacol, potassium iodide, and 2,2(')-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid (ABTS).",ACTIVATOR,"['H(2)O(2)', 'peroxidase']"
"The protein exhibited modest H(2)O(2)-dependent << peroxidase >> activities with [[ guaiacol ]], potassium iodide, and 2,2(')-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid (ABTS).",SUBSTRATE,"['peroxidase', 'guaiacol']"
"The protein exhibited modest H(2)O(2)-dependent << peroxidase >> activities with guaiacol, [[ potassium iodide ]], and 2,2(')-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid (ABTS).",SUBSTRATE,"['peroxidase', 'potassium iodide']"
"The protein exhibited modest H(2)O(2)-dependent << peroxidase >> activities with guaiacol, potassium iodide, and [[ 2,2(')-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid ]] (ABTS).",SUBSTRATE,"['peroxidase', ""2,2(')-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid""]"
"The protein exhibited modest H(2)O(2)-dependent << peroxidase >> activities with guaiacol, potassium iodide, and 2,2(')-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid ([[ ABTS ]]).",SUBSTRATE,"['peroxidase', 'ABTS']"
"Ferredoxin 1 (<< FDX1 >>; adrenodoxin) is an iron-sulfur protein that is involved in various metabolic processes, including [[ steroid ]] hormone synthesis in mammalian tissues.",PRODUCT-OF,"['FDX1', 'steroid']"
"Ferredoxin 1 (FDX1; << adrenodoxin >>) is an iron-sulfur protein that is involved in various metabolic processes, including [[ steroid ]] hormone synthesis in mammalian tissues.",PRODUCT-OF,"['adrenodoxin', 'steroid']"
"<< Ferredoxin 1 >> (FDX1; adrenodoxin) is an iron-sulfur protein that is involved in various metabolic processes, including [[ steroid ]] hormone synthesis in mammalian tissues.",PRODUCT-OF,"['Ferredoxin 1', 'steroid']"
"Ferredoxin 1 (<< FDX1 >>; adrenodoxin) is an iron-sulfur protein that is involved in various metabolic processes, including [[ steroid hormone ]] synthesis in mammalian tissues.",PRODUCT-OF,"['FDX1', 'steroid hormone']"
"Ferredoxin 1 (FDX1; << adrenodoxin >>) is an iron-sulfur protein that is involved in various metabolic processes, including [[ steroid hormone ]] synthesis in mammalian tissues.",PRODUCT-OF,"['adrenodoxin', 'steroid hormone']"
"<< Ferredoxin 1 >> (FDX1; adrenodoxin) is an iron-sulfur protein that is involved in various metabolic processes, including [[ steroid hormone ]] synthesis in mammalian tissues.",PRODUCT-OF,"['Ferredoxin 1', 'steroid hormone']"
"Luciferase reporter assays showed that transcription of << FDX1 >> was synergistically activated by the NR5A family and [[ 8Br-cAMP ]] treatment through two SF-1 binding sites and a CRE-like sequence in a human ovarian granulosa cell line, KGN.",INDIRECT-UPREGULATOR,"['FDX1', '8Br-cAMP']"
"These results indicate transcription of << FDX1 >> is regulated by the NR5A family and [[ cAMP ]] signaling, and participates in steroid hormone production in ovarian granulosa cells.",INDIRECT-UPREGULATOR,"['FDX1', 'cAMP']"
"These results indicate transcription of << FDX1 >> is regulated by the NR5A family and cAMP signaling, and participates in [[ steroid ]] hormone production in ovarian granulosa cells.",PRODUCT-OF,"['FDX1', 'steroid']"
"<< Flutamide >>, an effective competitive inhibitor of the [[ androgen receptor ]] used orally for palliative treatment of prostatic carcinoma and regulation of prostatic hyperplasia was evaluated for its genotoxic effects in the intact rat and in primary cultures of human hepatocytes.",INHIBITOR,"['Flutamide', 'androgen receptor']"
"In the liver of rats given << flutamide >> as initiating agent at the dose of 500 mg/kg/week for 6 successive weeks, [[ gamma-glutamyltraspeptidase ]]-positive foci were detected only in 3 of 10 rats.",INDIRECT-UPREGULATOR,"['flutamide', 'gamma-glutamyltraspeptidase']"
<< Cycloxygenase-2 >> (COX-2)-derived [[ prostaglandin E2 ]] (PGE2) has been shown to be important in esophageal tumorigenesis.,PRODUCT-OF,"['Cycloxygenase-2', 'prostaglandin E2']"
Cycloxygenase-2 (<< COX-2 >>)-derived [[ prostaglandin E2 ]] (PGE2) has been shown to be important in esophageal tumorigenesis.,PRODUCT-OF,"['COX-2', 'prostaglandin E2']"
<< Cycloxygenase-2 >> (COX-2)-derived prostaglandin E2 ([[ PGE2 ]]) has been shown to be important in esophageal tumorigenesis.,PRODUCT-OF,"['Cycloxygenase-2', 'PGE2']"
Cycloxygenase-2 (<< COX-2 >>)-derived prostaglandin E2 ([[ PGE2 ]]) has been shown to be important in esophageal tumorigenesis.,PRODUCT-OF,"['COX-2', 'PGE2']"
We have shown that << COX-2 >> mediates acid-induced [[ PGE2 ]] production.,PRODUCT-OF,"['COX-2', 'PGE2']"
We conclude that << mPGES1 >> mediates acid-induced increase in [[ PGE2 ]] production and cell proliferation.,PRODUCT-OF,"['mPGES1', 'PGE2']"
<< Butein >> also increased [[ heme oxygenase-1 ]] (HO-1) protein expression and HO activity.,INDIRECT-UPREGULATOR,"['Butein', 'heme oxygenase-1']"
<< Butein >> also increased heme oxygenase-1 ([[ HO-1 ]]) protein expression and HO activity.,INDIRECT-UPREGULATOR,"['Butein', 'HO-1']"
<< Butein >> also increased heme oxygenase-1 (HO-1) protein expression and [[ HO ]] activity.,UPREGULATOR,"['Butein', 'HO']"
"Furthermore, << butein >> treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 (Nrf2) and increased the promoter activity of [[ antioxidant response elements ]] (AREs).",INDIRECT-UPREGULATOR,"['butein', 'antioxidant response elements']"
"Furthermore, << butein >> treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 (Nrf2) and increased the promoter activity of antioxidant response elements ([[ AREs ]]).",INDIRECT-UPREGULATOR,"['butein', 'AREs']"
"Furthermore, << butein >> treatment caused nuclear accumulation of [[ nuclear factor-E2-related factor 2 ]] (Nrf2) and increased the promoter activity of antioxidant response elements (AREs).",INDIRECT-UPREGULATOR,"['butein', 'nuclear factor-E2-related factor 2']"
"Furthermore, << butein >> treatment caused nuclear accumulation of nuclear factor-E2-related factor 2 ([[ Nrf2 ]]) and increased the promoter activity of antioxidant response elements (AREs).",INDIRECT-UPREGULATOR,"['butein', 'Nrf2']"
"Treatment of HDP cells with a c-Jun NH2-terminal kinase (JNK) inhibitor also reduced butein-induced HO-1 expression, and << butein >> treatment led to increased [[ JNK ]] phosphorylation.",ACTIVATOR,"['butein', 'JNK']"
"Treatment of HDP cells with a c-Jun NH2-terminal kinase (JNK) inhibitor also reduced << butein >>-induced [[ HO-1 ]] expression, and butein treatment led to increased JNK phosphorylation.",INDIRECT-UPREGULATOR,"['butein', 'HO-1']"
The refolding kinetics of guanidine-denatured disulfide-intact bovine pancreatic ribonuclease A (RNase A) and its << proline-42-to-alanine >> mutant (Pro42Ala) have been studied by monitoring tyrosine burial and [[ 2'-cytidine monophosphate ]] (2'CMP) inhibitor binding.,INHIBITOR,"['proline-42-to-alanine', ""2'-cytidine monophosphate""]"
The refolding kinetics of guanidine-denatured disulfide-intact bovine pancreatic ribonuclease A (RNase A) and its proline-42-to-alanine mutant (<< Pro42Ala >>) have been studied by monitoring tyrosine burial and [[ 2'-cytidine monophosphate ]] (2'CMP) inhibitor binding.,INHIBITOR,"['Pro42Ala', ""2'-cytidine monophosphate""]"
The refolding kinetics of guanidine-denatured disulfide-intact << bovine pancreatic ribonuclease A >> (RNase A) and its proline-42-to-alanine mutant (Pro42Ala) have been studied by monitoring tyrosine burial and [[ 2'-cytidine monophosphate ]] (2'CMP) inhibitor binding.,INHIBITOR,"['bovine pancreatic ribonuclease A', ""2'-cytidine monophosphate""]"
The refolding kinetics of guanidine-denatured disulfide-intact bovine pancreatic ribonuclease A (<< RNase A >>) and its proline-42-to-alanine mutant (Pro42Ala) have been studied by monitoring tyrosine burial and [[ 2'-cytidine monophosphate ]] (2'CMP) inhibitor binding.,INHIBITOR,"['RNase A', ""2'-cytidine monophosphate""]"
The refolding kinetics of guanidine-denatured disulfide-intact bovine pancreatic ribonuclease A (RNase A) and its << proline-42-to-alanine >> mutant (Pro42Ala) have been studied by monitoring tyrosine burial and 2'-cytidine monophosphate ([[ 2'CMP ]]) inhibitor binding.,INHIBITOR,"['proline-42-to-alanine', ""2'CMP""]"
The refolding kinetics of guanidine-denatured disulfide-intact bovine pancreatic ribonuclease A (RNase A) and its proline-42-to-alanine mutant (<< Pro42Ala >>) have been studied by monitoring tyrosine burial and 2'-cytidine monophosphate ([[ 2'CMP ]]) inhibitor binding.,INHIBITOR,"['Pro42Ala', ""2'CMP""]"
The refolding kinetics of guanidine-denatured disulfide-intact << bovine pancreatic ribonuclease A >> (RNase A) and its proline-42-to-alanine mutant (Pro42Ala) have been studied by monitoring tyrosine burial and 2'-cytidine monophosphate ([[ 2'CMP ]]) inhibitor binding.,INHIBITOR,"['bovine pancreatic ribonuclease A', ""2'CMP""]"
The refolding kinetics of guanidine-denatured disulfide-intact bovine pancreatic ribonuclease A (<< RNase A >>) and its proline-42-to-alanine mutant (Pro42Ala) have been studied by monitoring tyrosine burial and 2'-cytidine monophosphate ([[ 2'CMP ]]) inhibitor binding.,INHIBITOR,"['RNase A', ""2'CMP""]"
"The folding rate for wild-type << RNase A >> is faster in the presence of the inhibitor [[ 2'CMP ]] than in its absence, indicating that the transition-state structure in the rate-determining step is stabilized by 2'CMP.",INHIBITOR,"['RNase A', ""2'CMP""]"
"During early pregnancy in sheep, the elongating conceptus secretes interferon-τ (IFNT) and the conceptus as well as endometrial epithelia produce << prostaglandins >> (PG) via [[ PG synthase 2 ]] (PTGS2) and cortisol via hydroxysteroid (11-β) dehydrogenase 1 (HSD11B1).",PRODUCT-OF,"['prostaglandins', 'PG synthase 2']"
"During early pregnancy in sheep, the elongating conceptus secretes interferon-τ (IFNT) and the conceptus as well as endometrial epithelia produce << prostaglandins >> (PG) via PG synthase 2 ([[ PTGS2 ]]) and cortisol via hydroxysteroid (11-β) dehydrogenase 1 (HSD11B1).",PRODUCT-OF,"['prostaglandins', 'PTGS2']"
"During early pregnancy in sheep, the elongating conceptus secretes interferon-τ (IFNT) and the conceptus as well as endometrial epithelia produce prostaglandins (PG) via PG synthase 2 (PTGS2) and << cortisol >> via [[ hydroxysteroid (11-β) dehydrogenase 1 ]] (HSD11B1).",PRODUCT-OF,"['cortisol', 'hydroxysteroid (11-β) dehydrogenase 1']"
"During early pregnancy in sheep, the elongating conceptus secretes interferon-τ (IFNT) and the conceptus as well as endometrial epithelia produce prostaglandins (PG) via PG synthase 2 (PTGS2) and << cortisol >> via hydroxysteroid (11-β) dehydrogenase 1 ([[ HSD11B1 ]]).",PRODUCT-OF,"['cortisol', 'HSD11B1']"
The primary aim of these studies was to test the hypothesis that << HSD11B1 >>-derived [[ cortisol ]] has a biological role in endometrial function and conceptus development during early pregnancy in sheep.,PRODUCT-OF,"['HSD11B1', 'cortisol']"
"In study 1, cyclic ewes received vehicle, cortisol, << PF 915275 >> (PF; a selective inhibitor of [[ HSD11B1 ]]), cortisol and PF, meloxicam (a selective inhibitor of PTGS2), cortisol and meloxicam, recombinant ovine IFNT, or IFNT and PF into the uterus from day 10 to day14 after estrus.",INHIBITOR,"['PF 915275', 'HSD11B1']"
"In study 1, cyclic ewes received vehicle, cortisol, PF 915275 (PF; a selective inhibitor of HSD11B1), cortisol and PF, << meloxicam >> (a selective inhibitor of [[ PTGS2 ]]), cortisol and meloxicam, recombinant ovine IFNT, or IFNT and PF into the uterus from day 10 to day14 after estrus.",INHIBITOR,"['meloxicam', 'PTGS2']"
"<< Cortisol >> and IFNT stimulated endometrial [[ HSD11B1 ]] expression and activity, increased endometrial PTGS2 activity and the amount of PG in the uterine lumen, and up-regulated many conceptus elongation-related genes in the endometrium.",ACTIVATOR,"['Cortisol', 'HSD11B1']"
"<< Cortisol >> and IFNT stimulated endometrial HSD11B1 expression and activity, increased endometrial [[ PTGS2 ]] activity and the amount of PG in the uterine lumen, and up-regulated many conceptus elongation-related genes in the endometrium.",ACTIVATOR,"['Cortisol', 'PTGS2']"
"<< Cortisol >> and IFNT stimulated endometrial [[ HSD11B1 ]] expression and activity, increased endometrial PTGS2 activity and the amount of PG in the uterine lumen, and up-regulated many conceptus elongation-related genes in the endometrium.",INDIRECT-UPREGULATOR,"['Cortisol', 'HSD11B1']"
"These results suggest that << HSD11B1 >>-derived [[ cortisol ]] mediates, in part, actions of ovarian progesterone and the conceptus on endometrial function and support the hypothesis that IFNT, PG, and cortisol coordinately regulate endometrial functions important for conceptus elongation and implantation during early pregnancy in sheep.",PRODUCT-OF,"['HSD11B1', 'cortisol']"
<< 2-(2-Aminoethyl)-quinoline >> (D-1997): a novel agonist at [[ 5-hydroxytryptamine1-like receptors ]] in the canine basilar artery.,AGONIST,"['2-(2-Aminoethyl)-quinoline', '5-hydroxytryptamine1-like receptors']"
2-(2-Aminoethyl)-quinoline (<< D-1997 >>): a novel agonist at [[ 5-hydroxytryptamine1-like receptors ]] in the canine basilar artery.,AGONIST,"['D-1997', '5-hydroxytryptamine1-like receptors']"
"The effects of D-1997 in the basilar artery were not modified by incubation with either the 5-HT2 receptor antagonist ketanserin (0.01-1 microM), the 5-HT3 and 5-HT4 receptor antagonist ICS205930 (tropisetron; 0.1-10 microM), the 5-HT1A receptor antagonist spiroxatrine (0.01-1 microM), the << beta-adrenoceptor >> blocker with high affinity for 5-HT1A and 5-HT1B binding sites [[ (+/-)-pindolol ]] (0.01-1 microM), or the alpha 1-adrenoceptor antagonist prazosin (0.01-1 microM).",INHIBITOR,"['beta-adrenoceptor', '(+/-)-pindolol']"
"The effects of D-1997 in the basilar artery were not modified by incubation with either the << 5-HT2 receptor >> antagonist [[ ketanserin ]] (0.01-1 microM), the 5-HT3 and 5-HT4 receptor antagonist ICS205930 (tropisetron; 0.1-10 microM), the 5-HT1A receptor antagonist spiroxatrine (0.01-1 microM), the beta-adrenoceptor blocker with high affinity for 5-HT1A and 5-HT1B binding sites (+/-)-pindolol (0.01-1 microM), or the alpha 1-adrenoceptor antagonist prazosin (0.01-1 microM).",ANTAGONIST,"['5-HT2 receptor', 'ketanserin']"
"The effects of D-1997 in the basilar artery were not modified by incubation with either the 5-HT2 receptor antagonist ketanserin (0.01-1 microM), the << 5-HT3 >> and 5-HT4 receptor antagonist ICS205930 ([[ tropisetron ]]; 0.1-10 microM), the 5-HT1A receptor antagonist spiroxatrine (0.01-1 microM), the beta-adrenoceptor blocker with high affinity for 5-HT1A and 5-HT1B binding sites (+/-)-pindolol (0.01-1 microM), or the alpha 1-adrenoceptor antagonist prazosin (0.01-1 microM).",ANTAGONIST,"['5-HT3', 'tropisetron']"
"The effects of D-1997 in the basilar artery were not modified by incubation with either the 5-HT2 receptor antagonist ketanserin (0.01-1 microM), the 5-HT3 and << 5-HT4 >> receptor antagonist ICS205930 ([[ tropisetron ]]; 0.1-10 microM), the 5-HT1A receptor antagonist spiroxatrine (0.01-1 microM), the beta-adrenoceptor blocker with high affinity for 5-HT1A and 5-HT1B binding sites (+/-)-pindolol (0.01-1 microM), or the alpha 1-adrenoceptor antagonist prazosin (0.01-1 microM).",ANTAGONIST,"['5-HT4', 'tropisetron']"
"The effects of D-1997 in the basilar artery were not modified by incubation with either the 5-HT2 receptor antagonist ketanserin (0.01-1 microM), the 5-HT3 and 5-HT4 receptor antagonist ICS205930 (tropisetron; 0.1-10 microM), the << 5-HT1A >> receptor antagonist [[ spiroxatrine ]] (0.01-1 microM), the beta-adrenoceptor blocker with high affinity for 5-HT1A and 5-HT1B binding sites (+/-)-pindolol (0.01-1 microM), or the alpha 1-adrenoceptor antagonist prazosin (0.01-1 microM).",ANTAGONIST,"['5-HT1A', 'spiroxatrine']"
"The effects of D-1997 in the basilar artery were not modified by incubation with either the 5-HT2 receptor antagonist ketanserin (0.01-1 microM), the 5-HT3 and 5-HT4 receptor antagonist ICS205930 (tropisetron; 0.1-10 microM), the 5-HT1A receptor antagonist spiroxatrine (0.01-1 microM), the beta-adrenoceptor blocker with high affinity for 5-HT1A and 5-HT1B binding sites (+/-)-pindolol (0.01-1 microM), or the << alpha 1-adrenoceptor >> antagonist [[ prazosin ]] (0.01-1 microM).",ANTAGONIST,"['alpha 1-adrenoceptor', 'prazosin']"
"In contrast, the << D-1997 >>-induced responses were potently and concentration-dependently antagonized by the mixed [[ 5-HT1-like ]] and 5-HT2 receptor antagonist methiothepin (0.01-1 microM).",AGONIST,"['D-1997', '5-HT1-like']"
"In contrast, the << D-1997 >>-induced responses were potently and concentration-dependently antagonized by the mixed 5-HT1-like and [[ 5-HT2 receptor ]] antagonist methiothepin (0.01-1 microM).",AGONIST,"['D-1997', '5-HT2 receptor']"
"In contrast, the D-1997-induced responses were potently and concentration-dependently antagonized by the mixed << 5-HT1-like >> and 5-HT2 receptor antagonist [[ methiothepin ]] (0.01-1 microM).",ANTAGONIST,"['5-HT1-like', 'methiothepin']"
"In contrast, the D-1997-induced responses were potently and concentration-dependently antagonized by the mixed 5-HT1-like and << 5-HT2 receptor >> antagonist [[ methiothepin ]] (0.01-1 microM).",ANTAGONIST,"['5-HT2 receptor', 'methiothepin']"
It is concluded that << D-1997 >> contracts the canine basilar artery by stimulating [[ 5-HT1-like receptors ]] unrelated to either the 5-HT1A or 5-HT1B receptor subtypes.,ACTIVATOR,"['D-1997', '5-HT1-like receptors']"
It is concluded that << D-1997 >> contracts the canine basilar artery by stimulating 5-HT1-like receptors unrelated to either the [[ 5-HT1A ]] or 5-HT1B receptor subtypes.,ACTIVATOR,"['D-1997', '5-HT1A']"
It is concluded that << D-1997 >> contracts the canine basilar artery by stimulating 5-HT1-like receptors unrelated to either the 5-HT1A or [[ 5-HT1B ]] receptor subtypes.,ACTIVATOR,"['D-1997', '5-HT1B']"
"Although Bak and Bcl-2-associated X protein (Bax), another member of the Bcl-2 family, are generally thought to be functionally redundant, only Bak is necessary and sufficient for << VK2 >>-induced [[ cytochrome c ]] (cyt c) release and cell death.",INDIRECT-UPREGULATOR,"['VK2', 'cytochrome c']"
"Although Bak and Bcl-2-associated X protein (Bax), another member of the Bcl-2 family, are generally thought to be functionally redundant, only Bak is necessary and sufficient for << VK2 >>-induced cytochrome c ([[ cyt c ]]) release and cell death.",INDIRECT-UPREGULATOR,"['VK2', 'cyt c']"
"In muscle and liver, << TCDD >> (10 ng/kg/day) induced increases in methylation and decreases in mRNA expression of [[ Igf2r ]].",INDIRECT-DOWNREGULATOR,"['TCDD', 'Igf2r']"
